B	Acme beats Q3 expectations and raises full-year guidance
B	Acme reports record revenue of $2.1B, up 45% year over year
B	FDA approves Acme's new cancer drug
B	Gross margin expanded 300 basis points to 58%
B	Board authorizes $5B share buyback program
B	CEO discloses $2M open market purchase of company stock
B	Acme awarded $500M defense contract
B	Acme raises dividend 20% and announces stock split
B	Third consecutive quarter of accelerating revenue growth
B	Acme to be acquired at a 40% premium
B	Acme joins S&P 500 index
B	Morgan Stanley raises price target to $250
B	Demand exceeds supply for Acme's AI accelerators
B	Acme delivers beat and raise quarter
B	EPS acceleration continues as margins expanded
B	Acme wins major contract from Department of Defense
B	Analyst upgrades Acme citing margin expansion
B	Acme stock soars on blowout earnings
B	Revenue topped estimates and guidance above consensus
B	Acme swings to profit as bookings surge
B	Insider buying cluster: three executives purchase shares
B	Acme announces strategic partnership with Microsoft
S	Acme misses estimates and cuts guidance
S	SEC opens investigation into Acme's revenue recognition
S	CFO resigns amid accounting irregularities
S	Acme withdraws guidance citing weak demand
S	Acme announces 2,000 layoffs as sales slump
S	Auditor raises going concern doubt
S	Acme cuts dividend by half
S	Acme files for chapter 11 bankruptcy protection
S	Acme's drug missed primary endpoint in phase 3 trial
S	Margin compression deepens as pricing weakens
S	Analyst downgrades Acme and cuts price target to $12
S	Q4 guidance falls short of consensus
S	Acme faces class action lawsuit over data breach
S	Acme shares plunge on profit warning
S	Inventory glut forces writedown at Acme
S	Acme suspends dividend amid liquidity concerns
S	Acme widens recall of flagship product
S	Acme swings to loss as customer churn deepens
S	DOJ investigation widens into Acme's sales practices
S	Acme delisted from Nasdaq after compliance failure
S	Secondary offering raises dilution fears at Acme
S	Acme warns of decelerating growth and margin compression
N	Acme to report third quarter results on Thursday
N	Acme appoints new board member
N	Acme sets date for annual shareholder meeting
N	Acme files annual report with SEC
N	Acme completes previously announced debt refinancing
N	Acme to present at industry conference next week
N	Acme names new chief technology officer
N	Trading volume in line with 30-day average
N	Acme's tax liability unchanged from prior year
N	Acme transfers stock listing to NYSE
N	Analysts expect Acme to report results in line with estimates
N	Acme schedules investor day for March
N	Acme's crude processing volumes steady quarter over quarter
N	Vice president of sales to speak at industry conference
N	Acme issues statement on upcoming earnings date
N	Acme opens new distribution center in Ohio
